   85   85.13       76.1      0.341      10.1      7.17 0.2920    0.0058   29.54
   86   86.13       74.8      0.305      9.11      6.44 0.2920    0.0051   28.24
   87   87.13       71.8      0.316      9.53      6.74 0.2794    0.0054   30.38
   88   88.13       70.6      0.314      9.47       6.7 0.2794    0.0053   29.08
   89   89.13       70.1      0.343      10.5       7.4 0.2871    0.0053   28.30
   90   90.13       69.5      0.365      11.1      7.88 0.2923    0.0052   27.68
   91   91.13       67.4      0.361      11.1      7.84 0.2876    0.0058   28.90
   92   92.13       66.1      0.357       11.      7.75 0.2901    0.0061   28.90
   93   93.13       65.2      0.387      11.8      8.34 0.2961    0.0070   28.60
   94   94.13       63.2      0.382      11.7      8.26 0.2920    0.0064   30.02
   95   95.13       62.9      0.361       11.      7.74 0.3025    0.0060   30.02
   96   96.13       60.7      0.366      11.2      7.95 0.2955    0.0063   28.58
   97   97.13       58.8       0.37      11.4      8.05 0.2955    0.0076   28.58
   98   98.13       57.3      0.361      11.2      7.91 0.2955    0.0072   31.33
   99   99.13       54.7      0.358      11.1      7.88 0.2844    0.0083   31.33
  100  100.13       56.1      0.376      11.9      8.39 0.3048    0.0078   30.79
  101  101.13       55.2      0.357      11.3      7.98 0.3048    0.0072   31.67
  102  102.13       53.8      0.329      10.5      7.44 0.3048    0.0069   31.14
  103  103.13       54.1       0.35      11.2      7.89 0.3196    0.0070   31.14
  104  104.13       51.2       0.32      10.3      7.31 0.3023    0.0064   31.21
  105  105.13       51.3      0.322      10.4      7.34 0.3129    0.0068   30.83
  106  106.13       49.6      0.278      9.04      6.39 0.3072    0.0054   30.83
  107  107.13       47.9      0.331      10.9       7.7 0.2973    0.0071   30.83
  108  108.13       46.8      0.299      9.82      6.94 0.2971    0.0068   30.28
  109  109.13       45.7      0.303      10.1      7.13 0.2971    0.0068   30.28
  110  110.13        45.      0.305      10.1      7.17 0.2971    0.0064   29.46
  111  111.13       44.4      0.338      11.3        8. 0.2971    0.0070   29.43
  112  112.13       43.5      0.315      10.6      7.47 0.2990    0.0059   29.43
  113  113.13       42.2      0.291      9.75      6.89 0.2990    0.0064   29.43
  114  114.13       40.3      0.313      10.6      7.48 0.2828    0.0070   30.44
  115  115.13       39.2      0.315      10.7      7.59 0.2828    0.0066   30.44
  116  116.13       38.6       0.32      10.9      7.73 0.2828    0.0072   29.13
  117  117.13       37.4      0.287      9.86      6.97 0.2828    0.0074   29.13
  118  118.13       38.3       0.29      9.96      7.04 0.2932    0.0054   31.04
