 #N     h      T-rule     S-rule    G-Quad            eT            eS            eG
277   0.0114  1.999979  2.000001  1.999993    0.107288E-04    0.357628E-06    0.333786E-05
281   0.0112  1.999979  2.000000  1.999994    0.103712E-04    0.119209E-06    0.292063E-05
285   0.0111  1.999980  2.000000  1.999995    0.101924E-04    0.119209E-06    0.244379E-05
289   0.0109  1.999980  2.000000  1.999995    0.977516E-05    0.238419E-06    0.256300E-05
293   0.0108  1.999981  2.000000  1.999995    0.947714E-05    0.178814E-06    0.232458E-05
297   0.0106  1.999982  2.000000  1.999995    0.917912E-05    0.119209E-06    0.232458E-05
301   0.0105  1.999982  2.000000  1.999995    0.917912E-05    0.238419E-06    0.250340E-05
305   0.0103  1.999982  2.000000  1.999995    0.894070E-05    0.000000E+00    0.274181E-05
309   0.0102  1.999983  2.000000  1.999995    0.864267E-05    0.238419E-06    0.226498E-05
313   0.0101  1.999984  2.000000  1.999995    0.804663E-05    0.596046E-07    0.226498E-05
317   0.0099  1.999985  2.000000  1.999996    0.774860E-05    0.000000E+00    0.196695E-05
321   0.0098  1.999983  2.000000  1.999996    0.834465E-05    0.119209E-06    0.202656E-05
325   0.0097  1.999985  2.000000  1.999996    0.762939E-05    0.178814E-06    0.190735E-05
329   0.0096  1.999985  2.000000  1.999997    0.774860E-05    0.000000E+00    0.160933E-05
333   0.0095  1.999984  1.999999  1.999995    0.792742E-05    0.298023E-06    0.238419E-05
337   0.0093  1.999986  2.000000  1.999996    0.721216E-05    0.119209E-06    0.208616E-05
341   0.0092  1.999986  2.000000  1.999997    0.697374E-05    0.119209E-06    0.149012E-05
345   0.0091  1.999986  1.999999  1.999996    0.697374E-05    0.417233E-06    0.196695E-05
349   0.0090  1.999987  1.999999  1.999996    0.673532E-05    0.298023E-06    0.178814E-05
353   0.0089  1.999985  2.000000  1.999996    0.727177E-05    0.119209E-06    0.214577E-05
357   0.0088  1.999987  2.000000  1.999997    0.637770E-05    0.119209E-06    0.160933E-05
361   0.0087  1.999987  2.000000  1.999997    0.661612E-05    0.119209E-06    0.172853E-05
365   0.0086  1.999987  2.000000  1.999997    0.631809E-05    0.596046E-07    0.166893E-05
369   0.0085  1.999988  2.000000  1.999997    0.619888E-05    0.596046E-07    0.149012E-05
373   0.0084  1.999988  2.000000  1.999997    0.607967E-05    0.178814E-06    0.172853E-05
377   0.0084  1.999989  2.000000  1.999998    0.560284E-05    0.238419E-06    0.101328E-05
381   0.0083  1.999989  2.000000  1.999997    0.530481E-05    0.000000E+00    0.166893E-05
385   0.0082  1.999989  2.000001  1.999997    0.572205E-05    0.357628E-06    0.143051E-05
389   0.0081  1.999988  2.000001  1.999997    0.590086E-05    0.357628E-06    0.166893E-05
393   0.0080  1.999990  2.000001  1.999998    0.524521E-05    0.357628E-06    0.953674E-06
397   0.0079  1.999990  2.000000  1.999996    0.518560E-05    0.000000E+00    0.178814E-05
401   0.0079  1.999990  2.000000  1.999997    0.518560E-05    0.596046E-07    0.172853E-05
405   0.0078  1.999990  2.000000  1.999997    0.524521E-05    0.238419E-06    0.143051E-05
409   0.0077  1.999990  1.999999  1.999997    0.506639E-05    0.298023E-06    0.137091E-05
413   0.0076  1.999989  2.000000  1.999997    0.530481E-05    0.238419E-06    0.143051E-05
417   0.0076  1.999991  2.000000  1.999998    0.452995E-05    0.000000E+00    0.774860E-06
421   0.0075  1.999992  2.000000  1.999998    0.423193E-05    0.119209E-06    0.113249E-05
425   0.0074  1.999991  2.000000  1.999998    0.452995E-05    0.238419E-06    0.119209E-05
429   0.0073  1.999992  2.000000  1.999997    0.405312E-05    0.119209E-06    0.137091E-05
433   0.0073  1.999991  2.000000  1.999998    0.452995E-05    0.178814E-06    0.101328E-05
437   0.0072  1.999990  2.000001  1.999998    0.482798E-05    0.715256E-06    0.894070E-06
441   0.0071  1.999991  2.000001  1.999997    0.470877E-05    0.357628E-06    0.137091E-05
445   0.0071  1.999991  2.000000  1.999998    0.429153E-05    0.119209E-06    0.119209E-05
449   0.0070  1.999991  2.000001  1.999998    0.452995E-05    0.357628E-06    0.774860E-06
453   0.0070  1.999992  2.000000  1.999997    0.387430E-05    0.119209E-06    0.131130E-05
457   0.0069  1.999991  2.000001  1.999999    0.441074E-05    0.357628E-06    0.655651E-06
461   0.0068  1.999992  2.000000  1.999999    0.375509E-05    0.119209E-06    0.655651E-06
465   0.0068  1.999993  2.000000  1.999998    0.363588E-05    0.596046E-07    0.953674E-06
469   0.0067  1.999993  1.999999  1.999997    0.369549E-05    0.417233E-06    0.154972E-05
473   0.0067  1.999993  2.000000  1.999998    0.333786E-05    0.178814E-06    0.834465E-06
477   0.0066  1.999994  1.999999  1.999997    0.298023E-05    0.476837E-06    0.125170E-05
481   0.0065  1.999992  2.000001  1.999999    0.375509E-05    0.476837E-06    0.536442E-06
485   0.0065  1.999993  1.999999  1.999999    0.363588E-05    0.357628E-06    0.655651E-06
