psf0.fits	1.57	2.570725146281039e-13
psf1.fits	1.5915	5.08647637010777e-13
psf2.fits	1.613	5.108818134161805e-13
psf3.fits	1.6348	5.060647597929371e-13
psf4.fits	1.656	4.946198374767662e-13
psf5.fits	1.6775	4.795829138799071e-13
psf6.fits	1.699	4.706516921149662e-13
psf7.fits	1.7205	4.549599576493159e-13
psf8.fits	1.742	4.3681118736599574e-13
psf9.fits	1.7635	4.2350296935458483e-13
psf10.fits	1.785	4.023174183672234e-13
psf11.fits	1.8065	3.8459273844303946e-13
psf12.fits	1.828	3.7990707810378757e-13
psf13.fits	1.8495	3.781086071099823e-13
psf14.fits	1.871	3.654296038342894e-13
psf15.fits	1.8925	3.439470126309656e-13
psf16.fits	1.914	3.4289138842877843e-13
psf17.fits	1.9355	3.3307815013824975e-13
psf18.fits	1.957	3.2160915599627083e-13
psf19.fits	1.9785	3.135188960550265e-13
psf20.fits	2.00	1.543731731006944e-13
