psf0.fits	1.24	2.65508546131e-11
psf1.fits	1.2565	2.53314510017e-11
psf2.fits	1.273	2.48143303428e-11
psf3.fits	1.2895	2.38693006299e-11
psf4.fits	1.306	2.30686626572e-11
psf5.fits	1.3225	2.22364939504e-11
psf6.fits	1.339	2.1293864037e-11
psf7.fits	1.3555	2.11724396925e-11
psf8.fits	1.372	1.99950336498e-11
psf9.fits	1.3885	1.91869557787e-11
psf10.fits	1.405	1.82230225585e-11
psf11.fits	1.4215	1.77370955716e-11
psf12.fits	1.438	1.70010786792e-11
psf13.fits	1.4545	1.5710908633e-11
psf14.fits	1.471	1.57549579803e-11
psf15.fits	1.4875	1.49764781107e-11
psf16.fits	1.504	1.45338988006e-11
psf17.fits	1.5205	1.43183498634e-11
psf18.fits	1.537	1.3906870771e-11
psf19.fits	1.5535	1.32511316415e-11
psf20.fits	1.57	1.21601215029e-11
