   1      Infinity
   2      Infinity
   3      Infinity
   4      Infinity
   5      Infinity
   6      Infinity
   7      Infinity
   8      Infinity
   9      Infinity
  10      Infinity
  11      Infinity
  12      Infinity
  13      Infinity
  14      Infinity
  15      Infinity
  16      Infinity
  17      Infinity
  18      Infinity
  19      Infinity
  20      Infinity
  21      Infinity
  22      Infinity
  23      Infinity
  24      Infinity
  25      Infinity
  26      Infinity
  27      Infinity
  28      Infinity
  29      Infinity
  30      Infinity
  31      Infinity
  32      Infinity
  33      Infinity
  34      Infinity
  35      Infinity
  36      Infinity
  37      Infinity
  38      Infinity
  39      Infinity
  40      Infinity
  41      Infinity
  42      Infinity
  43      Infinity
  44      Infinity
  45      Infinity
  46      Infinity
  47      Infinity
  48      Infinity
  49      Infinity
  50      Infinity
  51      Infinity
  52      Infinity
  53      Infinity
  54      Infinity
  55      Infinity
  56      Infinity
  57      Infinity
  58      Infinity
  59      Infinity
  60      Infinity
  61      Infinity
  62      Infinity
  63      Infinity
  64      Infinity
  65      Infinity
  66      Infinity
  67      Infinity
  68      Infinity
  69      Infinity
  70      Infinity
  71      Infinity
  72      Infinity
  73      Infinity
  74      Infinity
  75      Infinity
  76      Infinity
  77      Infinity
  78      Infinity
  79      Infinity
  80      Infinity
  81      Infinity
  82      Infinity
  83      Infinity
  84      Infinity
  85      Infinity
  86      Infinity
  87      Infinity
  88      Infinity
  89      Infinity
  90      Infinity
  91      Infinity
  92      Infinity
  93      Infinity
  94      Infinity
  95      Infinity
  96      Infinity
  97      Infinity
  98      Infinity
  99      Infinity
 100      Infinity
