   2  2.500000E-01
   4  2.500000E-01
   6  2.500000E-01
   8  2.500000E-01
  10  2.500000E-01
  12  2.500000E-01
  14  2.500000E-01
  16  2.500000E-01
  18  2.500000E-01
  20  2.500000E-01
  22  2.500000E-01
  24  2.500000E-01
  26  2.500000E-01
  28  2.500000E-01
  30  2.500000E-01
  32  2.500000E-01
  34  2.500000E-01
  36  2.500000E-01
  38  2.500000E-01
  40  2.500000E-01
  42  2.500000E-01
  44  2.500000E-01
  46  2.500000E-01
  48  2.500000E-01
  50  2.500000E-01
  52  2.500000E-01
  54  2.500000E-01
  56  2.500000E-01
  58  2.500000E-01
  60  2.500000E-01
  62  2.500000E-01
  64  2.500000E-01
  66  2.500000E-01
  68  2.500000E-01
  70  2.500000E-01
  72  2.500000E-01
  74  2.500000E-01
  76  2.500000E-01
  78  2.500000E-01
  80  2.500000E-01
  82  2.500000E-01
  84  2.500000E-01
  86  2.500000E-01
  88  2.500000E-01
  90  2.500000E-01
