   81   81.00        17.      0.521      15.1      10.6 0.3100    0.0199   -5.70
   82   82.00       15.6      0.543      15.7      11.1 0.3100    0.0310   -4.05
   83   83.00        16.      0.498      14.4      10.2 0.3270    0.0251   -5.80
   84   84.00       14.2      0.508       15.      10.6 0.2781    0.0224   -3.63
   85   85.00       11.3      0.482      14.6      10.3 0.2242    0.0501   -2.94
   86   86.00       11.9      0.472      14.1      9.96 0.2726    0.0345   -6.24
   87   87.00       15.7      0.484      14.2       10. 0.3471    0.0275   -6.24
   88   88.00        12.      0.463      13.8      9.77 0.2960    0.0381   -5.82
   89   89.00       12.2      0.503      15.3      10.8 0.2960    0.0336   -1.47
   90   90.00       13.4      0.513      15.3      10.8 0.3382    0.0202   -1.76
   91   91.00       12.4      0.462      14.3      10.1 0.2581    0.0228   -1.76
   92   92.00       10.8      0.534      16.6      11.8 0.2851    0.0338   -3.83
   93   93.00       7.98      0.486      15.5       11. 0.1634    0.0454   -3.15
   94   94.00       8.21      0.475      15.3      10.8 0.1601    0.0400   -5.20
   95   95.00       9.69      0.485      15.4      10.9 0.2282    0.0397   -7.58
   96   96.00       8.84      0.451      14.3      10.1 0.2209    0.0295   -7.58
   97   97.00       6.32      0.459      15.2      10.8 0.1411    0.0614    0.20
   98   98.00       9.16      0.489      15.8      11.2 0.2149    0.0208   16.69
   99   99.00       9.14      0.466      15.3      10.8 0.2149    0.0294   12.14 
