              #h    forward_diff       rel_error    central_diff       rel_error   extrapol_diff       rel_error
    0.500000E+02   -0.173309E-03    0.998264E+00    0.528527E-03    0.100529E+01    0.530084E-03    0.100531E+01
    0.500000E+01   -0.123405E+00    0.236112E+00    0.528528E-02    0.105294E+01    0.530084E-02    0.105310E+01
    0.500000E+00   -0.339337E+00    0.239903E+01    0.528527E-01    0.152941E+01    0.530084E-01    0.153097E+01
    0.500000E-01   -0.124662E+00    0.248699E+00    0.528527E+00    0.629409E+01    0.530084E+00    0.630968E+01
    0.500000E-02   -0.102317E+00    0.248806E-01    0.528527E+01    0.539409E+02    0.530084E+01    0.540968E+02
    0.500000E-03   -0.100136E+00    0.302894E-02    0.528528E+02    0.530409E+03    0.530084E+02    0.531968E+03
    0.500000E-04   -0.100136E+00    0.302894E-02    0.528528E+03    0.529509E+04    0.530084E+03    0.531068E+04
    0.500000E-05   -0.107288E+00    0.746739E-01    0.528528E+04    0.529419E+05    0.530084E+04    0.530978E+05
    0.500000E-06   -0.119209E+00    0.194082E+00    0.528528E+05    0.529410E+06    0.530084E+05    0.530969E+06
